Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
F4:7B:5E:32:91:FE,2016-02-27 06:10:20,2016-02-27 06:10:20,-66,1,(not associated),Deeznuts
D8:30:62:54:8A:0C,2016-02-27 06:10:04,2016-02-27 06:10:04,-60,2,90:EF:68:05:51:D9,
F0:4F:7C:9F:C8:0D,2016-02-27 06:10:20,2016-02-27 06:10:20,-56,32,AA:66:7F:C5:EC:B0,
DE:16:1F:BC:9D:D2,2016-02-27 06:10:04,2016-02-27 06:10:24,-54,11,00:25:00:FF:94:73,
6C:AD:F8:28:07:EA,2016-02-27 06:10:15,2016-02-27 06:10:23,-54,44,C0:3F:0E:09:75:A4,
90:18:7C:7A:FF:F7,2016-02-27 06:10:19,2016-02-27 06:10:19,-54,2,C0:3F:0E:09:75:A4,
04:15:52:E7:A7:5B,2016-02-27 06:10:20,2016-02-27 06:10:24,-54,3,A0:A3:E2:21:6C:85,
6C:AD:F8:1B:99:41,2016-02-27 06:10:15,2016-02-27 06:10:23,-56,207,10:86:8C:44:07:8E,
00:1E:65:91:4A:98,2016-02-27 06:10:18,2016-02-27 06:10:18,-46,1,74:85:2A:97:5B:08,
D0:E1:40:9A:13:8E,2016-02-27 06:10:15,2016-02-27 06:10:24,-40,49,40:8B:07:23:86:B5,
1C:99:4C:2F:B8:6C,2016-02-27 06:10:23,2016-02-27 06:10:23,-42,1,C0:3F:0E:09:75:A4,
F0:4F:7C:9F:C8:0D,2016-02-27 06:10:26,2016-02-27 06:10:30,-58,3,AA:66:7F:C5:EC:B0,
6C:AD:F8:28:07:EA,2016-02-27 06:10:27,2016-02-27 06:10:35,-56,54,C0:3F:0E:09:75:A4,
6C:AD:F8:1B:99:41,2016-02-27 06:10:27,2016-02-27 06:10:35,-56,237,10:86:8C:44:07:8E,
DE:16:1F:BC:9D:D2,2016-02-27 06:10:28,2016-02-27 06:10:34,-54,7,00:25:00:FF:94:73,
D0:E1:40:9A:13:8E,2016-02-27 06:10:27,2016-02-27 06:10:32,-40,39,40:8B:07:23:86:B5,
F0:4F:7C:9F:C8:0D,2016-02-27 06:10:42,2016-02-27 06:10:50,-58,49,AA:66:7F:C5:EC:B0,
6C:AD:F8:28:07:EA,2016-02-27 06:10:44,2016-02-27 06:10:49,-56,78,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 06:10:42,2016-02-27 06:10:50,-56,6,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 06:10:44,2016-02-27 06:10:49,-52,58,10:86:8C:44:07:8E,
D0:E1:40:9A:13:8E,2016-02-27 06:10:41,2016-02-27 06:10:50,-38,41,40:8B:07:23:86:B5,
04:15:52:E7:A7:5B,2016-02-27 06:10:46,2016-02-27 06:10:46,-1,1,A0:A3:E2:21:6C:85,
84:78:8B:81:DC:C4,2016-02-27 06:10:48,2016-02-27 06:10:48,-52,65,40:8B:07:23:86:B5,
5C:AA:FD:6D:10:D1,2016-02-27 06:10:49,2016-02-27 06:10:49,-40,1,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
20:A2:E4:C2:48:CE,2016-02-27 06:10:49,2016-02-27 06:10:49,-1,1,90:C7:92:32:E7:60,
64:20:0C:C8:CB:E6,2016-02-27 06:10:49,2016-02-27 06:10:49,-60,1,94:44:52:F7:42:E7,
F0:27:2D:68:20:AD,2016-02-27 06:10:49,2016-02-27 06:10:49,-1,1,90:C7:92:32:E7:60,
6C:AD:F8:28:07:EA,2016-02-27 06:10:56,2016-02-27 06:11:04,-46,30,C0:3F:0E:09:75:A4,
6C:AD:F8:1B:99:41,2016-02-27 06:10:57,2016-02-27 06:11:04,-58,130,10:86:8C:44:07:8E,
90:18:7C:7A:FF:F7,2016-02-27 06:11:00,2016-02-27 06:11:00,-56,4,C0:3F:0E:09:75:A4,
04:15:52:E7:A7:5B,2016-02-27 06:11:01,2016-02-27 06:11:01,-56,3,A0:A3:E2:21:6C:85,
DE:16:1F:BC:9D:D2,2016-02-27 06:10:57,2016-02-27 06:11:05,-54,10,00:25:00:FF:94:73,
74:81:14:9E:F2:79,2016-02-27 06:11:00,2016-02-27 06:11:00,-46,1,14:CC:20:C7:CE:FE,
5C:AA:FD:6D:10:D0,2016-02-27 06:11:00,2016-02-27 06:11:00,-40,1,14:CC:20:C7:CE:FE,
5C:AA:FD:6D:10:D1,2016-02-27 06:11:00,2016-02-27 06:11:04,-40,2,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
D0:E1:40:9A:13:8E,2016-02-27 06:11:00,2016-02-27 06:11:05,-38,46,40:8B:07:23:86:B5,
00:1E:65:91:4A:98,2016-02-27 06:10:59,2016-02-27 06:10:59,-32,1,74:85:2A:97:5B:08,
1C:99:4C:2F:B8:6C,2016-02-27 06:11:04,2016-02-27 06:11:04,-50,2,C0:3F:0E:09:75:A4,
F0:27:2D:68:20:AD,2016-02-27 06:11:04,2016-02-27 06:11:04,-1,1,90:C7:92:32:E7:60,
F0:4F:7C:9F:C8:0D,2016-02-27 06:11:16,2016-02-27 06:11:20,-56,104,AA:66:7F:C5:EC:B0,
04:15:52:E7:A7:5B,2016-02-27 06:11:16,2016-02-27 06:11:16,-58,2,A0:A3:E2:21:6C:85,
6C:AD:F8:28:07:EA,2016-02-27 06:11:12,2016-02-27 06:11:19,-48,58,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 06:11:12,2016-02-27 06:11:12,-56,5,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 06:11:15,2016-02-27 06:11:19,-56,77,10:86:8C:44:07:8E,
D8:30:62:54:8A:0C,2016-02-27 06:11:16,2016-02-27 06:11:20,-50,2,90:EF:68:05:51:D9,
24:A0:74:F0:3F:5C,2016-02-27 06:11:12,2016-02-27 06:11:12,-42,1,(not associated),Roxie
5C:AA:FD:6D:10:D1,2016-02-27 06:11:12,2016-02-27 06:11:19,-38,3,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
5C:B9:01:56:D6:73,2016-02-27 06:11:11,2016-02-27 06:11:11,-1,3,14:CC:20:C7:CE:FE,
6C:AD:F8:5F:EF:9D,2016-02-27 06:11:31,2016-02-27 06:11:31,-64,19,E8:3E:FC:9F:45:10,
DE:16:1F:BC:9D:D2,2016-02-27 06:11:27,2016-02-27 06:11:35,-60,5,00:25:00:FF:94:73,
D8:30:62:54:8A:0C,2016-02-27 06:11:28,2016-02-27 06:11:28,-58,1,90:EF:68:05:51:D9,
1C:99:4C:2F:B8:6C,2016-02-27 06:11:29,2016-02-27 06:11:30,-56,3,C0:3F:0E:09:75:A4,
6C:AD:F8:1B:99:41,2016-02-27 06:11:29,2016-02-27 06:11:34,-56,164,10:86:8C:44:07:8E,
6C:AD:F8:28:07:EA,2016-02-27 06:11:27,2016-02-27 06:11:33,-50,49,C0:3F:0E:09:75:A4,
5C:AA:FD:6D:10:D0,2016-02-27 06:11:30,2016-02-27 06:11:30,-40,1,14:CC:20:C7:CE:FE,
